127.0.0.1 - - [12/Apr/2021:14:50:19 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/Apr/2021:14:50:22 +0900] "GET /fullCalendarAPI/ HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [12/Apr/2021:14:50:32 +0900] "GET /fullCalendarAPI/ HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [12/Apr/2021:14:50:33 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Apr/2021:14:59:58 +0900] "GET /fullCalendarAPI/ HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [12/Apr/2021:15:00:00 +0900] "GET /fullCalendarAPI/ HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [12/Apr/2021:15:00:00 +0900] "GET /fullCalendarAPI/ HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [12/Apr/2021:15:03:17 +0900] "GET /fullCalendarAPI/ HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [12/Apr/2021:15:03:19 +0900] "GET /fullCalendarAPI/ HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [12/Apr/2021:15:03:20 +0900] "GET /fullCalendarAPI/ HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [12/Apr/2021:15:12:43 +0900] "GET /fullCalendarAPI/ HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [12/Apr/2021:15:12:43 +0900] "GET /fullCalendarAPI/fullCalendarAPI/resources/JavaScript/fullCallendar.js HTTP/1.1" 404 892
0:0:0:0:0:0:0:1 - - [12/Apr/2021:15:12:44 +0900] "GET /fullCalendarAPI/ HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [12/Apr/2021:15:12:44 +0900] "GET /fullCalendarAPI/fullCalendarAPI/resources/JavaScript/fullCallendar.js HTTP/1.1" 404 892
0:0:0:0:0:0:0:1 - - [12/Apr/2021:15:12:44 +0900] "GET /fullCalendarAPI/ HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [12/Apr/2021:15:12:44 +0900] "GET /fullCalendarAPI/fullCalendarAPI/resources/JavaScript/fullCallendar.js HTTP/1.1" 404 892
0:0:0:0:0:0:0:1 - - [12/Apr/2021:15:12:46 +0900] "GET /fullCalendarAPI/ HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [12/Apr/2021:15:12:46 +0900] "GET /fullCalendarAPI/fullCalendarAPI/resources/JavaScript/fullCallendar.js HTTP/1.1" 404 892
0:0:0:0:0:0:0:1 - - [12/Apr/2021:15:12:46 +0900] "GET /fullCalendarAPI/ HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [12/Apr/2021:15:12:46 +0900] "GET /fullCalendarAPI/fullCalendarAPI/resources/JavaScript/fullCallendar.js HTTP/1.1" 404 892
0:0:0:0:0:0:0:1 - - [12/Apr/2021:15:12:47 +0900] "GET /fullCalendarAPI/ HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [12/Apr/2021:15:12:47 +0900] "GET /fullCalendarAPI/fullCalendarAPI/resources/JavaScript/fullCallendar.js HTTP/1.1" 404 892
0:0:0:0:0:0:0:1 - - [12/Apr/2021:15:12:53 +0900] "GET /fullCalendarAPI/ HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [12/Apr/2021:15:12:53 +0900] "GET /fullCalendarAPI/fullCalendarAPI/resources/JavaScript/fullCallendar.js HTTP/1.1" 404 892
0:0:0:0:0:0:0:1 - - [12/Apr/2021:15:12:53 +0900] "GET /fullCalendarAPI/ HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [12/Apr/2021:15:12:53 +0900] "GET /fullCalendarAPI/fullCalendarAPI/resources/JavaScript/fullCallendar.js HTTP/1.1" 404 892
0:0:0:0:0:0:0:1 - - [12/Apr/2021:15:12:54 +0900] "GET /fullCalendarAPI/ HTTP/1.1" 200 298
